Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,3.063211,3.377811,2.905911,3.088048,1.819268,1641379441
2001-02-01,3.124476,3.124476,2.765169,2.823122,1.663192,1210551910
2001-03-01,2.847959,3.096327,2.549916,2.781893,1.638902,2051226051
2001-04-01,2.642806,2.947306,2.516801,2.930748,1.726598,1888971194
2001-05-01,2.930748,3.245348,2.806564,3.162559,1.863166,1804129530
2001-06-01,3.162559,3.352975,2.955585,3.344696,1.970466,2026271201
2001-07-01,3.295022,3.352975,2.847959,3.226969,1.901112,1740111757
2001-08-01,3.212232,3.295022,2.898129,2.906739,1.712453,1785576451
2001-09-01,2.884386,2.914190,2.311483,2.814843,1.658314,1424141773
2001-10-01,2.781727,3.030096,2.533358,2.839680,1.672947,2167339799
2001-11-01,2.814843,3.140206,2.814843,2.914190,1.716843,2941991079
2001-12-01,2.914190,3.048309,2.756890,2.914025,1.716746,2580447691
2002-01-01,2.914025,3.054932,2.781727,2.806233,1.653243,2245248217
2002-02-01,2.814843,3.477159,2.746955,3.386090,1.994856,2856702498
2002-03-01,3.311580,3.344696,3.046653,3.071490,1.809514,2371773909
2002-04-01,3.096327,3.311414,2.980422,3.104606,1.829024,2934115684
2002-05-01,3.104606,3.104606,2.798285,2.874451,1.693432,2128470136
2002-06-01,2.900282,2.946644,2.381026,2.649264,1.560767,3377070358
2002-07-01,2.584026,2.814843,1.821700,2.044900,1.204716,5571164759
2002-08-01,2.039933,2.619791,1.920882,2.409174,1.419322,5712076335
2002-09-01,2.430700,2.441462,1.871208,1.966250,1.158381,3105502135
2002-10-01,2.038940,2.665822,1.904324,2.649264,1.560767,5054130653
2002-11-01,2.616314,2.657543,2.351222,2.533358,1.492483,2953345174
2002-12-01,2.607869,2.897632,2.434011,2.839680,1.672947,2498782756
2003-01-01,2.839680,2.925781,2.473750,2.558361,1.507213,2741639609
2003-02-01,2.558361,2.670789,2.444277,2.599590,1.531502,1992414252
2003-03-01,2.599590,3.096327,2.573925,3.044832,1.793808,2001183479
2003-04-01,3.063211,3.344696,2.930748,3.195675,1.882676,3500310608
2003-05-01,3.195675,3.460601,3.150140,3.311580,1.950958,3446439048
2003-06-01,3.328138,3.352975,3.146001,3.154611,1.858482,2237590244
2003-07-01,3.146166,3.559783,3.096327,3.526833,2.077772,2558041469
2003-08-01,3.477159,3.824875,3.344696,3.717248,2.189950,4523834001
2003-09-01,3.723872,4.023570,3.427485,3.444043,2.028998,2676921265
2003-10-01,3.460601,3.940780,3.460601,3.891106,2.292375,2770906601
2003-11-01,3.891106,4.104703,3.750364,4.104703,2.418214,2716237840
2003-12-01,4.089801,4.818349,4.010323,4.752117,2.799624,1823987117
2004-01-01,4.752117,5.091720,4.470633,4.619654,2.721588,2766727328
2004-02-01,4.621476,4.970682,4.419304,4.636046,2.731245,2309833695
2004-03-01,4.636212,4.802122,4.180870,4.477256,2.637697,2245610580
2004-04-01,4.454241,4.752117,3.744238,3.857991,2.272867,3073106725
2004-05-01,3.857825,4.420959,3.692412,4.338170,2.555755,3192505909
2004-06-01,4.335355,4.768675,4.263659,4.768675,2.809380,2282680494
2004-07-01,4.720657,4.924320,4.462354,4.669162,2.750754,2289505033
2004-08-01,4.702112,5.229151,4.553423,4.917696,2.897175,2770363054
2004-09-01,4.934254,5.414433,4.788545,5.257133,3.097146,1902004246
2004-10-01,5.281970,5.861497,5.215739,5.729034,3.375159,2684857054
2004-11-01,5.726219,5.861497,5.459802,5.861331,3.453099,2060285172
2004-12-01,5.844939,6.788739,5.828381,6.606602,3.892161,2950373790
2005-01-01,6.614881,6.772347,6.217492,6.457581,3.804367,4500811764
2005-02-01,6.451124,7.728069,6.432744,7.451055,4.389655,3386540160
2005-03-01,7.358828,8.146487,6.979817,7.202687,4.243335,3896024994
2005-04-01,7.204343,7.566961,6.739066,7.318592,4.311617,2351988798
