Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.500000,3.542500,3.500000,3.500000,1.665134,585600
2000-01-04,3.466666,3.474166,3.416666,3.416666,1.625488,782400
2000-01-05,3.375000,3.416666,3.375000,3.416666,1.625488,1876800
2000-01-06,3.416666,3.500000,3.416666,3.416666,1.625488,792000
2000-01-07,3.458333,3.559166,3.458333,3.541666,1.684958,5347200
2000-01-10,3.750000,3.833333,3.750000,3.833333,1.823719,2980800
2000-01-11,3.833333,3.858333,3.808333,3.841666,1.827683,326400
2000-01-12,3.850000,3.916666,3.841666,3.879166,1.845524,5068800
2000-01-13,4.008333,4.008333,4.008333,4.008333,1.906976,120000
2000-01-14,4.017500,4.083333,4.017500,4.083333,1.942657,3484800
2000-01-17,4.083333,4.166666,4.083333,4.166666,1.982303,230400
2000-01-18,4.125000,4.125000,4.025000,4.041666,1.922834,3724800
2000-01-19,4.041666,4.050833,4.000000,4.025000,1.914905,1872000
2000-01-20,4.000000,4.000000,4.000000,4.000000,1.903011,748800
2000-01-21,4.000000,4.000000,3.916666,3.916666,1.863365,144000
2000-01-24,3.916666,4.041666,3.916666,4.000000,1.903011,705600
2000-01-25,4.000000,4.000000,4.000000,4.000000,1.903011,0
2000-01-26,3.966666,3.966666,3.966666,3.966666,1.887152,196800
2000-01-27,4.041666,4.041666,4.000000,4.000000,1.903011,686400
2000-01-28,4.000000,4.000000,4.000000,4.000000,1.903011,211200
2000-01-31,4.000000,4.000000,4.000000,4.000000,1.903011,0
2000-02-01,3.916666,3.916666,3.916666,3.916666,1.863365,148800
2000-02-02,3.950000,3.950000,3.750000,3.750000,1.784073,739200
2000-02-03,3.708333,3.833333,3.708333,3.750000,1.784073,4382400
2000-02-04,3.750000,3.891666,3.750000,3.891666,1.851471,345600
2000-02-07,3.916666,4.083333,3.916666,4.083333,1.942657,81600
2000-02-08,4.083333,4.320833,4.083333,4.320833,2.055648,1036800
2000-02-09,4.258333,4.366666,4.250000,4.250000,2.021950,6081600
2000-02-10,4.250000,4.250000,4.000000,4.000000,1.903011,3969600
2000-02-11,4.000000,4.000000,3.790833,3.790833,1.803499,43200
2000-02-14,3.791666,3.791666,3.741666,3.741666,1.780108,278400
2000-02-15,3.741666,3.833333,3.583333,3.833333,1.823719,158400
2000-02-16,3.833333,3.833333,3.833333,3.833333,1.823719,470400
2000-02-17,3.750000,3.750000,3.750000,3.750000,1.784073,9600
2000-02-18,3.750000,3.750000,3.750000,3.750000,1.784073,28800
2000-02-21,3.750000,3.750000,3.749166,3.750000,1.784073,52800
2000-02-22,3.666666,3.666666,3.666666,3.666666,1.744427,422400
2000-02-23,3.833333,3.833333,3.666666,3.750000,1.784073,792000
2000-02-24,3.750000,3.750000,3.708333,3.708333,1.764250,340800
2000-02-25,3.666666,3.666666,3.666666,3.666666,1.744427,38400
2000-02-28,3.625000,3.625000,3.583333,3.583333,1.704781,81600
2000-02-29,3.575000,3.575000,3.400000,3.400000,1.617559,465600
2000-03-01,3.400000,3.416666,3.374166,3.416666,1.625488,244800
2000-03-02,3.333333,3.333333,3.331666,3.331666,1.585049,624000
2000-03-03,3.333333,3.333333,3.290833,3.290833,1.565623,571200
2000-03-06,3.290833,3.290833,3.290833,3.290833,1.565623,0
2000-03-07,3.290833,3.290833,3.290833,3.290833,1.565623,0
2000-03-08,3.315000,3.315000,3.290833,3.309166,1.574345,158400
2000-03-09,3.250000,3.291666,3.241666,3.241666,1.542232,336000
2000-03-10,3.250000,3.250000,3.166666,3.166666,1.506550,211200
2000-03-13,3.166666,3.166666,3.166666,3.166666,1.506550,0
2000-03-14,3.133333,3.133333,3.000000,3.000000,1.427258,475200
2000-03-15,3.000000,3.000000,3.000000,3.000000,1.427258,216000
2000-03-16,3.000000,3.050000,3.000000,3.050000,1.451046,13742400
2000-03-17,3.083333,3.083333,3.024166,3.024166,1.438756,6254400
2000-03-20,3.025000,3.025000,2.750000,2.833333,1.347966,1041600
2000-03-21,2.875000,2.921666,2.875000,2.921666,1.389991,81600
2000-03-22,2.950833,3.050000,2.950833,2.975000,1.415364,2020800
2000-03-23,2.945833,3.058333,2.941666,3.041666,1.447082,681600
2000-03-24,3.083333,3.208333,3.058333,3.208333,1.526373,1377600
2000-03-27,3.250000,3.291666,3.208333,3.291666,1.566020,1262400
2000-03-28,3.250000,3.332500,3.125000,3.191666,1.518444,1233600
2000-03-29,3.250000,3.258333,3.125000,3.251666,1.546989,772800
2000-03-30,3.258333,3.291666,3.248333,3.248333,1.545403,28800
2000-03-31,3.208333,3.333333,3.191666,3.333333,1.585843,1003200
2000-04-03,3.316666,3.416666,3.291666,3.416666,1.625488,585600
2000-04-04,3.333333,3.375000,3.166666,3.250000,1.546197,1036800
2000-04-05,3.325000,3.408333,3.325000,3.375000,1.605666,566400
2000-04-06,3.416666,3.425000,3.333333,3.416666,1.625488,3528000
2000-04-07,3.416666,3.416666,3.375000,3.375000,1.605666,115200
2000-04-10,3.350000,3.359166,3.330833,3.330833,1.584653,1420800
2000-04-11,3.250000,3.333333,3.250000,3.330000,1.584257,1800000
2000-04-12,3.330000,3.330000,3.330000,3.330000,1.584257,0
2000-04-13,3.250000,3.250000,3.250000,3.250000,1.546197,96000
2000-04-14,3.166666,3.166666,3.075000,3.083333,1.466904,1497600
2000-04-17,3.083333,3.083333,2.958333,3.000000,1.427258,1396800
2000-04-18,2.917500,3.040833,2.917500,3.000000,1.427258,638400
2000-04-19,3.008333,3.025000,2.925000,2.925000,1.391577,936000
2000-04-20,3.083333,3.083333,3.050000,3.070833,1.460957,777600
2000-04-21,3.070833,3.070833,3.070833,3.070833,1.460957,0
2000-04-24,3.050000,3.050000,2.916666,3.041666,1.447082,6235200
2000-04-25,3.165833,3.165833,3.165833,3.165833,1.506153,91200
2000-04-26,3.166666,3.325000,3.166666,3.325000,1.581878,2188800
2000-04-27,3.283333,3.291666,3.232500,3.233333,1.538267,1521600
2000-04-28,3.291666,3.375000,3.291666,3.333333,1.585843,9720000
2000-05-01,3.333333,3.333333,3.333333,3.333333,1.585843,0
